attack_cat,confidence
0,0.8880599
2,0.6612026
2,0.6683225
2,0.65148205
0,0.85981864
2,0.64488214
0,0.88723433
2,0.6516445
0,0.89227647
0,0.8707503
2,0.6623699
0,0.8880219
0,0.8706773
0,0.8792403
0,0.8843452
0,0.88168293
2,0.6358837
2,0.63620454
0,0.8661514
0,0.89899635
2,0.6563624
0,0.89278376
0,0.890166
0,0.8993234
0,0.889924
0,0.892829
0,0.87928283
2,0.6746387
0,0.879243
0,0.891404
0,0.88737625
0,0.89201206
2,0.6580899
0,0.89640146
0,0.8861647
0,0.89443994
0,0.8942004
0,0.89296454
2,0.6375496
0,0.9001253
2,0.65896326
0,0.8906334
0,0.89124686
0,0.8848221
0,0.88638717
2,0.6371245
0,0.8283013
2,0.6631859
2,0.6530454
0,0.89164513
2,0.655667
0,0.8466394
0,0.87316674
0,0.893892
0,0.8816606
0,0.8913408
2,0.6492259
0,0.88773155
0,0.8981955
0,0.893859
0,0.8740843
0,0.8945163
2,0.6481433
0,0.88194656
2,0.632971
0,0.8894645
2,0.6678945
0,0.88460475
2,0.6551958
0,0.88500226
0,0.90081054
0,0.89547527
0,0.88975763
2,0.6657786
0,0.84065044
0,0.9003277
0,0.8740599
0,0.8916283
2,0.63822716
2,0.6622294
0,0.89304745
0,0.8938722
0,0.8909238
2,0.6507763
0,0.88977647
0,0.8887
0,0.8655961
0,0.8870027
0,0.8930943
0,0.8926593
0,0.8802158
0,0.8988159
2,0.6631596
0,0.8822891
2,0.6386267
0,0.8915441
0,0.8876159
0,0.88364035
0,0.8739588
0,0.894961
2,0.66617763
2,0.66511464
2,0.6360233
0,0.89525384
0,0.8759583
2,0.65358406
0,0.8945542
0,0.87107134
0,0.84579414
0,0.89686143
2,0.6392036
2,0.648265
0,0.88858664
0,0.89376485
0,0.8898292
2,0.6345009
2,0.645301
2,0.6408536
2,0.64663255
0,0.89299256
2,0.78110594
2,0.65896964
0,0.85947996
2,0.6640959
0,0.8959786
0,0.8895685
2,0.6576528
0,0.89937943
0,0.890381
0,0.8654761
0,0.8730246
0,0.8888775
0,0.82671773
0,0.8943485
0,0.8859125
0,0.87528247
2,0.64707416
0,0.8894292
0,0.89066064
0,0.8842039
0,0.8855265
0,0.89061904
0,0.90036565
2,0.63780713
0,0.893761
0,0.89347017
2,0.65128064
2,0.6567482
0,0.89441776
2,0.65143293
0,0.89465976
0,0.8927508
2,0.66271377
2,0.64625484
0,0.89241886
0,0.8875049
2,0.6628701
0,0.84348655
0,0.89992195
2,0.63928705
0,0.8835451
0,0.8849418
